timestamp,temp_ampent,temp_object,pressure,humidity,gas_res,nh3_raw,co_raw,co2,Tvoc,no2_raw
,32.830,58.350,1007.000,23.463,15151.000,21.000,18.000,1761,404,22.000
,32.750,58.190,1007.000,23.840,17571.000,20.000,23.000,1911,601,36.000
,32.510,59.850,1007.000,25.346,4768.000,28.000,61.000,2784,2399,28.000
,33.010,62.910,1007.000,46.094,1299.000,21.000,18.000,4877,6849,25.000
,33.090,57.650,1007.000,41.156,5571.000,18.000,26.000,4759,6601,17.000
,33.030,61.190,1007.000,38.490,5030.000,21.000,15.000,9329,16385,16.000
,32.990,58.770,1007.000,35.198,4187.000,16.000,0.000,7474,12406,11.000
,32.790,60.990,1007.000,31.406,1804.000,19.000,18.000,10372,18602,18.000
,33.090,59.930,1007.000,38.855,2151.000,16.000,21.000,2963,2768,22.000
,32.950,56.970,1007.000,30.023,803.000,18.000,22.000,10051,17886,19.000
,32.790,58.070,1007.000,33.172,4653.000,17.000,0.000,4375,5785,18.000
,32.990,61.090,1007.000,33.851,1256.000,23.000,30.000,1704,344,24.000
,33.330,64.250,1007.000,40.233,889.000,23.000,16.000,1865,536,23.000
,34.230,62.050,1007.000,42.520,1758.000,22.000,1.000,2747,2325,18.000
,34.950,61.750,1007.000,44.206,2233.000,16.000,32.000,7063,11528,18.000
,35.610,57.650,1007.000,39.784,4725.000,22.000,39.000,10723,19309,21.000
,35.550,57.730,1007.000,29.573,6117.000,19.000,16.000,7751,13046,23.000
,35.410,57.550,1007.000,26.600,4812.000,19.000,18.000,20745,29206,19.000
,35.250,59.590,1007.000,33.128,2918.000,22.000,27.000,13121,24511,27.000
,35.370,61.610,1007.000,39.612,1090.000,16.000,16.000,1906,594,21.000
,35.270,59.370,1007.000,39.845,4746.000,22.000,33.000,1830,488,19.000
,34.570,56.110,1007.000,26.455,7641.000,22.000,32.000,1725,363,20.000
,33.970,58.330,1007.000,24.690,3489.000,17.000,16.000,4058,5131,21.000
,33.910,57.150,1007.000,30.113,6594.000,16.000,14.000,6241,9757,16.000
,33.890,58.310,1007.000,30.846,8892.000,16.000,0.000,8352,14285,16.000
,33.690,57.170,1007.000,27.872,8650.000,19.000,42.000,2511,1799,35.000
,33.490,56.210,1007.000,24.578,6200.000,18.000,18.000,19510,29206,23.000
,33.050,55.730,1007.000,23.592,13200.000,32.000,14.000,3171,3207,17.000
,32.630,58.070,1007.000,25.794,2394.000,18.000,16.000,24729,29206,17.000
,33.090,56.570,1007.000,41.631,4982.000,18.000,14.000,1895,579,18.000
,33.470,60.230,1007.000,44.469,1767.000,16.000,0.000,1884,561,18.000
,33.510,57.790,1007.000,39.568,4399.000,16.000,37.000,2022,787,20.000
,33.330,60.170,1007.000,35.350,5098.000,20.000,16.000,1970,694,22.000
,33.470,59.610,1007.000,33.681,7877.000,18.000,17.000,3232,3354,18.000
,33.370,56.690,1007.000,28.832,9909.000,20.000,16.000,22938,29206,18.000
,33.370,56.230,1007.000,27.509,3538.000,16.000,1.000,5847,8934,16.000
,33.170,56.610,1007.000,24.546,6018.000,19.000,18.000,4558,6174,22.000
,32.990,56.850,1007.000,24.209,8509.000,18.000,0.000,27964,29206,17.000
,32.810,56.230,1007.000,25.017,2383.000,16.000,12.000,2813,2463,20.000
,32.790,57.750,1007.000,27.158,9180.000,18.000,20.000,1978,709,17.000
,32.630,57.270,1007.000,23.055,10298.000,30.000,10.000,1917,611,17.000
,32.590,57.130,1007.000,23.097,7526.000,23.000,33.000,6916,11203,23.000
,32.470,58.590,1007.000,24.854,3314.000,16.000,1.000,5402,7971,16.000
,32.590,57.310,1007.000,33.044,3612.000,32.000,42.000,7566,12607,26.000
,32.330,58.650,1007.000,28.618,2347.000,19.000,14.000,11467,21001,19.000
,32.430,58.570,1007.000,31.008,2053.000,26.000,28.000,12617,23362,23.000
,32.450,56.930,1007.000,35.168,5686.000,24.000,32.000,6181,9653,23.000
,32.310,55.570,1007.000,31.585,8216.000,21.000,18.000,12617,23362,18.000
,32.170,56.410,1007.000,29.026,10610.000,19.000,16.000,2287,1333,22.000
,32.010,57.370,1007.000,24.934,11799.000,18.000,16.000,5847,8934,16.000
,31.830,57.530,1007.000,25.856,3295.000,23.000,27.000,3676,4290,21.000
,31.770,57.790,1007.000,27.062,6282.000,18.000,26.000,2865,2576,22.000
,31.570,57.610,1007.000,26.807,7409.000,22.000,11.000,2643,2094,22.000
,31.530,56.870,1007.000,27.835,13225.000,17.000,0.000,4035,5089,17.000
,31.370,56.850,1007.000,22.714,15498.000,22.000,34.000,2700,2203,22.000
,31.450,56.230,1007.000,24.080,15119.000,26.000,18.000,3435,3777,18.000
,31.550,59.210,1007.000,24.322,7425.000,16.000,16.000,2224,1197,22.000
,31.910,61.770,1007.000,33.560,1906.000,18.000,16.000,2187,1111,18.000
,32.410,62.170,1007.000,37.989,2385.000,29.000,48.000,2164,1058,30.000
,32.350,58.390,1007.000,32.419,4552.000,19.000,25.000,2187,1111,18.000
,32.050,58.030,1007.000,26.833,8758.000,22.000,19.000,2296,1348,22.000
,31.810,59.010,1007.000,25.889,9335.000,19.000,16.000,2162,1057,17.000
,31.690,60.010,1007.000,27.883,8991.000,16.000,3.000,10713,19330,16.000
,32.530,65.270,1007.000,46.058,2037.000,27.000,36.000,2540,1866,22.000
,33.590,60.650,1007.000,52.599,4388.000,19.000,16.000,6554,10460,18.000
,33.730,59.730,1007.000,38.477,3256.000,28.000,27.000,2447,1663,24.000
,33.590,59.110,1007.000,31.189,6196.000,18.000,30.000,2454,1678,26.000
,33.290,58.770,1007.000,25.667,11432.000,21.000,0.000,2240,1224,17.000
,33.090,58.730,1007.000,24.956,6138.000,17.000,14.000,4120,5241,18.000
,32.870,59.710,1007.000,25.622,8714.000,26.000,30.000,2370,1505,18.000
